rank,lane,hero,tier,win_rate,ban_rate,pick_rate,roles
93,,Novaria,B,48.64,0.41,0.72,Mage
94,,Bane,B,49.36,0.07,0.35,Fighter Mage
95,,Lukas,B,48.89,0.77,0.49,Fighter
96,,Aulus,B,49.82,0.05,0.11,Fighter
97,,Johnson,C,48.21,1.19,0.62,Tank Support
98,,Pharsa,C,48.27,0.14,0.66,Mage
99,,Franco,C,45.08,8.80,1.36,Tank
100,,Bruno,C,49.18,0.05,0.21,Marksman
101,,Aldous,C,48.52,0.19,0.30,Fighter
102,,Jawhead,C,48.35,0.13,0.33,Fighter
103,,Roger,C,48.30,0.06,0.34,Fighter Marksman
104,,Barats,C,48.71,0.05,0.13,Tank Fighter
105,,Paquito,C,47.94,0.22,0.44,Fighter Assassin
106,,Hylos,D,48.02,0.19,0.35,Tank
107,,Chang'e,D,46.94,0.21,0.85,Mage
108,,Yin,D,47.55,0.57,0.37,Fighter Assassin
109,,Cici,D,47.17,0.53,0.53,Fighter
110,,Chip,D,47.98,0.45,0.08,Support Tank
111,,Chou,D,45.58,1.80,1.01,Fighter
112,,Martis,D,47.09,0.17,0.43,Fighter
113,,Aurora,D,47.39,0.06,0.28,Mage
114,,Nana,D,45.80,0.82,0.96,Mage
115,,Harith,D,47.30,0.08,0.27,Mage
116,,Wanwan,D,47.00,0.14,0.19,Marksman
117,,Luo Yi,D,46.89,0.08,0.24,Mage
118,,Kalea,D,46.58,1.05,0.29,Support Fighter
119,,Granger,D,42.98,1.71,1.87,Marksman
120,,Gatotkaca,D,45.91,0.17,0.56,Tank Fighter
121,,Ling,D,46.44,0.10,0.27,Assassin
122,,Zilong,D,46.04,0.28,0.43,Fighter Assassin
123,,Fanny,D,43.91,4.79,0.92,Assassin
124,,Karina,D,45.31,0.64,0.46,Assassin
125,,Layla,D,45.18,0.40,0.48,Marksman
126,,Mathilda,D,45.55,0.24,0.17,Support Assassin
127,,Lancelot,D,43.39,1.31,1.00,Assassin
128,,Alpha,D,44.36,0.10,0.64,Fighter
129,,Valentina,D,44.52,0.44,0.25,Mage
130,,Esmeralda,D,43.41,0.71,0.69,Mage Tank
131,,Dyrroth,D,43.36,0.09,0.26,Fighter
132,,Balmond,D,41.97,0.15,0.20,Fighter
