rank,lane,hero,tier,win_rate,ban_rate,pick_rate,roles
118,Jungle,Karina,D,45.96,2.67,0.71,Assassin
119,Jungle,Joy,D,47.10,0.72,0.15,Assassin
120,Jungle,Nolan,D,46.85,0.56,0.23,Assassin
121,Roam,Chip,D,47.04,0.73,0.05,Support Tank
122,Jungle,Martis,D,46.33,0.72,0.55,Fighter
123,Roam,Chou,D,45.17,2.71,0.96,Fighter
124,Roam,Kalea,D,46.22,1.69,0.32,Support Fighter
125,Jungle,Ling,D,46.59,0.17,0.18,Assassin
126,Jungle,Lancelot,D,44.31,1.38,0.71,Assassin
127,Exp,Esmeralda,D,44.24,0.95,0.44,Mage Tank
128,Jungle,Fanny,D,43.50,3.52,0.52,Assassin
129,Gold,Granger,D,41.88,4.16,1.52,Marksman
130,Roam,Mathilda,D,44.07,0.18,0.07,Support Assassin
131,Mid,Valentina,D,43.65,0.28,0.11,Mage
132,Jungle,Balmond,D,42.60,0.22,0.33,Fighter
